Time, X1, Y1, X2, Y2
0.000000, 0.000000000000000, 0.000000000000000, 198890000.000000000000000, -1651000000.000000000000000
60.000000, 0.026569367020268, -0.218784244164157, 203650095.177002400000000, -1650451011.307720200000000
120.000000, 0.107116549109462, -0.875023184605070, 208408491.815226230000000, -1649888316.932382100000000
180.000000, 0.242899662633152, -1.968543093984243, 213165150.481443580000000, -1649311922.316474400000000
240.000000, 0.435176222346110, -3.499166636977165, 217920031.761338380000000, -1648721833.015528000000000
300.000000, 0.685203131112065, -5.466712872605901, 222673096.259828660000000, -1648118054.698042200000000
360.000000, 0.994236669633797, -7.870997256600587, 227424304.601388370000000, -1647500593.145411500000000
420.000000, 1.363532486193648, -10.711831643789765, 232173617.430368960000000, -1646869454.251850400000000
480.000000, 1.794345586404526, -13.989024290519504, 236920995.411320630000000, -1646224644.024317000000000
540.000000, 2.287930322971479, -17.702379857101270, 241666399.229313140000000, -1645566168.582437800000000
600.000000, 2.845540385463921, -21.851699410288479, 246409789.590256390000000, -1644894034.158428400000000
660.000000, 3.468428790098586, -26.436780425781674, 251151127.221220640000000, -1644208247.097016600000000
720.000000, 4.157847869533282, -31.457416790762291, 255890372.870756390000000, -1643508813.855361900000000
780.000000, 4.915049262671531, -36.913398806454957, 260627487.309213910000000, -1642795741.002975700000000
840.000000, 5.741283904478165, -42.804513190718239, 265362431.329062430000000, -1642069035.221640100000000
900.000000, 6.637802015805955, -49.130543080663841, 270095165.745208980000000, -1641328703.305325700000000
960.000000, 7.605853093233352, -55.891268035304144, 274825651.395316840000000, -1640574752.160109300000000
1020.000000, 8.646685898913411, -63.086464038228073, 279553849.140123780000000, -1639807188.804088800000000
1080.000000, 9.761548450433983, -70.715903500305203, 284279719.863759760000000, -1639026020.367300000000000
1140.000000, 10.951688010689233, -78.779355262418065, 289003224.474064470000000, -1638231254.091630000000000
1200.000000, 12.218351077762582, -87.276584598222655, 293724323.902904270000000, -1637422897.330730900000000
1260.000000, 13.562783374821123, -96.207353216936951, 298442979.106489000000000, -1636600957.549932700000000
1320.000000, 14.986229840021602, -105.571419266157530, 303159151.065688310000000, -1635765442.326154900000000
1380.000000, 16.489934616428037, -115.368537334704160, 307872800.786347630000000, -1634916359.347817700000000
1440.000000, 18.075141041941034, -125.598458455492250, 312583889.299603820000000, -1634053716.414751100000000
1500.000000, 19.743091639238894, -136.260930108433310, 317292377.662200390000000, -1633177521.438105300000000
1560.000000, 21.495028105730576, -147.355696223363140, 321998226.956802430000000, -1632287782.440258300000000
1620.000000, 23.332191303520574, -158.882497182997670, 326701398.292311010000000, -1631384507.554723000000000
1680.000000, 25.255821249385797, -170.841069825916780, 331401852.804177460000000, -1630467705.026054600000000
1740.000000, 27.267157104764539, -183.231147449575500, 336099551.654717030000000, -1629537383.209755200000000
1800.000000, 29.367437165757561, -196.052459813343010, 340794456.033422230000000, -1628593550.572179600000000
1860.000000, 31.557898853141410, -209.304733141568960, 345486527.157275860000000, -1627636215.690438500000000
1920.000000, 33.839778702394021, -222.987690126677480, 350175726.271063630000000, -1626665387.252302200000000
1980.000000, 36.214312353732673, -237.101049932288480, 354862014.647686300000000, -1625681074.056102300000000
2040.000000, 38.682734542164361, -251.644528196366370, 359545353.588471530000000, -1624683285.010633500000000
2100.000000, 41.246279087548686, -266.617837034396080, 364225704.423485400000000, -1623672029.135053600000000
2160.000000, 43.906178884673317, -282.020685042586360, 368903028.511843320000000, -1622647315.558783500000000
2220.000000, 46.663665893342049, -297.852777301100100, 373577287.242020730000000, -1621609153.521406200000000
2280.000000, 49.519971128475632, -314.113815377312160, 378248442.032163320000000, -1620557552.372563800000000
2340.000000, 52.476324650225308, -330.803497329093770, 382916454.330396890000000, -1619492521.571856300000000
2400.000000, 55.533955554099258, -347.921517708124500, 387581285.615136800000000, -1618414070.688736000000000
2460.000000, 58.694091961101911, -365.467567563230660, 392242897.395396890000000, -1617322209.402404100000000
2520.000000, 61.957961007886269, -383.441334443751150, 396901251.211098250000000, -1616216947.501704700000000
