t,x,exact,error
ACTUAL: t=0.513219,0.000000,0.184967,0.351828,0.484250,0.569270,0.598565,0.569270,0.484250,0.351828,0.184967,0.000000
ERROR: ,-1.#IND00,0.600782,0.600782,0.600782,0.600782,0.600782,0.600782,0.600782,0.600782,0.600782,100.000000

ESTIMATE: t=0.552698,0.000000,0.176657,0.336021,0.462494,0.543694,0.571673,0.543694,0.462494,0.336021,0.176657,0.000000
ACTUAL: t=0.552698,0.000000,0.177807,0.338209,0.465505,0.547234,0.575395,0.547234,0.465505,0.338209,0.177807,0.000000
ERROR: ,-1.#IND00,0.646847,0.646847,0.646847,0.646847,0.646847,0.646847,0.646847,0.646847,0.646847,100.000000

ESTIMATE: t=0.592176,0.000000,0.169740,0.322864,0.444385,0.522406,0.549290,0.522406,0.444385,0.322864,0.169740,0.000000
ACTUAL: t=0.592176,0.000000,0.170924,0.325117,0.447485,0.526051,0.553122,0.526051,0.447485,0.325117,0.170924,0.000000
ERROR: ,-1.#IND00,0.692889,0.692889,0.692889,0.692889,0.692889,0.692889,0.692889,0.692889,0.692889,100.000000

ESTIMATE: t=0.631655,0.000000,0.163094,0.310223,0.426985,0.501951,0.527782,0.501951,0.426985,0.310223,0.163094,0.000000
ACTUAL: t=0.631655,0.000000,0.164308,0.312532,0.430163,0.505687,0.531711,0.505687,0.430163,0.312532,0.164308,0.000000
ERROR: ,-1.#IND00,0.738911,0.738911,0.738911,0.738911,0.738911,0.738911,0.738911,0.738911,0.738911,100.000000

ESTIMATE: t=0.671133,0.000000,0.156708,0.298076,0.410266,0.482297,0.507117,0.482297,0.410266,0.298076,0.156708,0.000000
ACTUAL: t=0.671133,0.000000,0.157948,0.300434,0.413512,0.486113,0.511129,0.486113,0.413512,0.300434,0.157948,0.000000
ERROR: ,-1.#IND00,0.784911,0.784911,0.784911,0.784911,0.784911,0.784911,0.784911,0.784911,0.784911,100.000000

ESTIMATE: t=0.710612,0.000000,0.150572,0.286405,0.394203,0.463413,0.487261,0.463413,0.394203,0.286405,0.150572,0.000000
ACTUAL: t=0.710612,0.000000,0.151834,0.288805,0.397505,0.467296,0.491344,0.467296,0.397505,0.288805,0.151834,0.000000
ERROR: ,-1.#IND00,0.830890,0.830890,0.830890,0.830890,0.830890,0.830890,0.830890,0.830890,0.830890,100.000000

ESTIMATE: t=0.750090,0.000000,0.144676,0.275191,0.378768,0.445268,0.468183,0.445268,0.378768,0.275191,0.144676,0.000000
ACTUAL: t=0.750090,0.000000,0.145956,0.277625,0.382118,0.449207,0.472324,0.449207,0.382118,0.277625,0.145956,0.000000
ERROR: ,-1.#IND00,0.876848,0.876848,0.876848,0.876848,0.876848,0.876848,0.876848,0.876848,0.876848,100.000000

ESTIMATE: t=0.789568,0.000000,0.139012,0.264416,0.363937,0.427834,0.449851,0.427834,0.363937,0.264416,0.139012,0.000000
ACTUAL: t=0.789568,0.000000,0.140306,0.266878,0.367327,0.431818,0.454041,0.431818,0.367327,0.266878,0.140306,0.000000
ERROR: ,-1.#IND00,0.922784,0.922784,0.922784,0.922784,0.922784,0.922784,0.922784,0.922784,0.922784,100.000000

ESTIMATE: t=0.829047,0.000000,0.133569,0.254063,0.349687,0.411082,0.432237,0.411082,0.349687,0.254063,0.133569,0.000000
ACTUAL: t=0.829047,0.000000,0.134875,0.256548,0.353108,0.415103,0.436465,0.415103,0.353108,0.256548,0.134875,0.000000
ERROR: ,-1.#IND00,0.968699,0.968699,0.968699,0.968699,0.968699,0.968699,0.968699,0.968699,0.968699,100.000000

ESTIMATE: t=0.868525,0.000000,0.128339,0.244115,0.335995,0.394986,0.415313,0.394986,0.335995,0.244115,0.128339,0.000000
ACTUAL: t=0.868525,0.000000,0.129654,0.246617,0.339439,0.399035,0.419570,0.399035,0.339439,0.246617,0.129654,0.000000
ERROR: ,-1.#IND00,1.014593,1.014593,1.014593,1.014593,1.014593,1.014593,1.014593,1.014593,1.014593,100.000000

ESTIMATE: t=0.908004,0.000000,0.123314,0.234557,0.322839,0.379520,0.399051,0.379520,0.322839,0.234557,0.123314,0.000000
ACTUAL: t=0.908004,0.000000,0.124635,0.237071,0.326300,0.383588,0.403329,0.383588,0.326300,0.237071,0.124635,0.000000
ERROR: ,-1.#IND00,1.060465,1.060465,1.060465,1.060465,1.060465,1.060465,1.060465,1.060465,1.060465,100.000000

ESTIMATE: t=0.947482,0.000000,0.118485,0.225373,0.310199,0.364660,0.383427,0.364660,0.310199,0.225373,0.118485,0.000000
ACTUAL: t=0.947482,0.000000,0.119811,0.227894,0.313669,0.368740,0.387716,0.368740,0.313669,0.227894,0.119811,0.000000
ERROR: ,-1.#IND00,1.106316,1.106316,1.106316,1.106316,1.106316,1.106316,1.106316,1.106316,1.106316,100.000000

ESTIMATE: t=0.986960,0.000000,0.113846,0.216548,0.298053,0.350382,0.368414,0.350382,0.298053,0.216548,0.113846,0.000000
ACTUAL: t=0.986960,0.000000,0.115173,0.219072,0.301527,0.354466,0.372708,0.354466,0.301527,0.219072,0.115173,0.000000
ERROR: ,-1.#IND00,1.152146,1.152146,1.152146,1.152146,1.152146,1.152146,1.152146,1.152146,1.152146,100.000000

